轮次,技能,结论,秒数,二维码内容
1,drafter,留用,420,Qoder技能演示场 第1轮 drafter｜耗时420秒｜留用
2,ascii-project-dashboard,留用,600,Qoder技能演示场 第2轮 ascii-project-dashboard｜耗时600秒｜留用
3,algorithmic-art,留用,1140,Qoder技能演示场 第3轮 algorithmic-art｜耗时1140秒｜留用
4,SQLite-Database-Expert,留用,780,Qoder技能演示场 第4轮 SQLite-Database-Expert｜耗时780秒｜留用
5,ppt-generator,留用,600,Qoder技能演示场 第5轮 ppt-generator｜耗时600秒｜留用
6,graphic-gif,留用,900,Qoder技能演示场 第6轮 graphic-gif｜耗时900秒｜留用
7,build-game,留用,1440,Qoder技能演示场 第7轮 build-game｜耗时1440秒｜留用
8,sec-audit-cn,留用,,Qoder技能演示场 第8轮 sec-audit-cn｜耗时未记｜留用
9,xlsx,留用,720,Qoder技能演示场 第9轮 xlsx｜耗时720秒｜留用
10,golang-testing,留用,540,Qoder技能演示场 第10轮 golang-testing｜耗时540秒｜留用
11,webapp-testing,留用,780,Qoder技能演示场 第11轮 webapp-testing｜耗时780秒｜留用
12,docx,留用,1260,Qoder技能演示场 第12轮 docx｜耗时1260秒｜留用
13,pdf,留用,900,Qoder技能演示场 第13轮 pdf｜耗时900秒｜留用
14,shader,留用,1080,Qoder技能演示场 第14轮 shader｜耗时1080秒｜留用
15,canvas-design,留用,1500,Qoder技能演示场 第15轮 canvas-design｜耗时1500秒｜留用
16,mcp-builder,留用,900,Qoder技能演示场 第16轮 mcp-builder｜耗时900秒｜留用
17,golang-gin-api,留用,1080,Qoder技能演示场 第17轮 golang-gin-api｜耗时1080秒｜留用
18,mermaid-cli,留用,360,Qoder技能演示场 第18轮 mermaid-cli｜耗时360秒｜留用
19,midi-generation,留用,600,Qoder技能演示场 第19轮 midi-generation｜耗时600秒｜留用
